cycle,q_near_none,q_near_nightly,q_near_triggered,q_score_none,q_score_nightly,q_score_triggered
102,8.1864,7.0966,7.0966,8.1858,7.096,7.096
103,7.9953,6.8836,6.8836,7.9947,6.883,6.883
104,7.8969,7.3972,7.3972,7.8963,7.3966,7.3966
105,7.9348,7.2699,7.2699,7.9342,7.2693,7.2693
106,7.9829,7.3602,7.3602,7.9823,7.3596,7.3596
107,7.9875,7.3561,7.3561,7.9869,7.3555,7.3555
108,7.9124,7.2988,7.2988,7.9118,7.2982,7.2982
109,8.1317,7.5458,7.5458,8.1311,7.5453,7.5453
110,8.2182,7.8286,7.8286,8.2176,7.828,7.828
111,8.257,7.8121,7.8121,8.2564,7.8115,7.8115
112,8.3416,7.8978,7.8978,8.341,7.8972,7.8972
113,8.3136,7.8692,7.8692,8.313,7.8687,7.8687
114,8.4546,8.0071,8.0071,8.454,8.0065,8.0065
115,8.2527,8.1349,8.1349,8.2521,8.1343,8.1343
116,8.2523,7.9825,7.9825,8.2517,7.9819,7.9819
117,8.2141,7.9494,7.9494,8.2135,7.9489,7.9489
118,8.2495,8.0315,8.0315,8.2489,8.0309,8.0309
119,8.1815,7.8588,7.8588,8.181,7.8582,7.8582
120,8.4557,8.1459,8.1459,8.4552,8.1453,8.1453
121,8.6786,8.3553,8.3553,8.678,8.3547,8.3547
