scenario,seed,strat,n,fail,tot_time2,exp_t,hot_t,heavy_tier,energy,cog,path,util,viol
L120_skew,2033,awra,120,0,2416.0,7.1962766516122265,6.8125,0.4583333333333333,15503.8,2.845934981735413,3226.0,0.6325,0
L120_skew,2033,cb,120,0,3321.0,5.681003396001822,3.4166666666666665,4.958333333333333,34616.10000000001,6.3542595957927235,3734.0,0.6325,0
L120_skew,2033,tob,120,0,2196.0,4.283076007422189,3.4166666666666665,3.9166666666666665,22203.000000000007,4.075664959524205,3240.0,0.6325,0
L120_skew,2034,random,120,0,4472.0,21.140408513069563,19.520833333333332,6.208333333333333,43639.20000000002,8.507827578811927,4464.0,0.6325,0
L120_skew,2034,seq,120,0,4529.0,23.19801933057183,20.1875,5.625,43753.89999999999,8.530189304583468,3208.0,0.6325,0
L120_skew,2034,near,120,0,2196.0,10.699035058483712,9.833333333333334,4.291666666666667,20857.8,4.06640282299729,3240.0,0.6325,0
L120_skew,2034,score,120,0,2548.0,11.223277627005672,10.895833333333334,3.8333333333333335,20189.999999999993,3.936209619246289,3288.0,0.6325,0
L120_skew,2034,awra,120,0,2592.0,6.402291736101197,7.9375,0.5416666666666666,14540.0,2.8346947926617667,3322.0,0.6325,0
L120_skew,2034,cb,120,0,3295.0,5.251900522147631,3.8333333333333335,4.791666666666667,31980.5,6.2348663560329864,3782.0,0.6325,0
L120_skew,2034,tob,120,0,2196.0,3.9612991794822974,3.4166666666666665,4.125,21340.100000000002,4.1604312479285674,3240.0,0.6325,0
L120_skew,2035,random,120,0,4649.0,19.763466183574895,20.666666666666668,9.0,51029.700000000004,9.73329137102311,4386.0,0.6325,0
L120_skew,2035,seq,120,0,4592.0,16.364380607315404,16.291666666666668,6.0,46082.200000000026,8.789616235599297,3240.0,0.6325,0
L120_skew,2035,near,120,0,2196.0,8.455874741200828,8.791666666666666,3.5,20852.6,3.9773785000381445,3240.0,0.6325,0
L120_skew,2035,score,120,0,2328.0,7.840709109730851,7.875,3.2916666666666665,20450.300000000007,3.900644693675134,3214.0,0.6325,0
L120_skew,2035,awra,120,0,2328.0,5.700284679089029,5.4375,0.5833333333333334,15512.100000000002,2.9587434195468054,3214.0,0.6325,0
L120_skew,2035,cb,120,0,3433.0,6.083523119392685,3.4166666666666665,5.291666666666667,34689.100000000006,6.616521705958648,3872.0,0.6325,0
L120_skew,2035,tob,120,0,2196.0,4.524473775017253,3.4166666666666665,3.3333333333333335,20252.899999999998,3.8629930571450357,3240.0,0.6325,0
L120_skew,2036,random,120,0,4434.0,14.391726329491938,15.541666666666666,6.166666666666667,42917.10000000001,8.247578599431163,4564.0,0.6325,0
L120_skew,2036,seq,120,0,4592.0,15.955530456755623,19.166666666666668,5.833333333333333,45805.599999999984,8.802675071104614,3240.0,0.6325,0
L120_skew,2036,near,120,0,2196.0,7.964891458325357,8.520833333333334,3.4166666666666665,20417.000000000004,3.9236297947574754,3240.0,0.6325,0
L120_skew,2036,score,120,0,2548.0,7.72871281442628,7.416666666666667,3.4166666666666665,20438.5,3.927761549696363,3288.0,0.6325,0
L120_skew,2036,awra,120,0,2636.0,6.006977679084192,6.0,0.5,15271.4,2.9347759243600575,3360.0,0.6325,0
L120_skew,2036,cb,120,0,3361.0,5.779825031586205,3.4166666666666665,5.166666666666667,32982.09999999999,6.338323468368052,3772.0,0.6325,0
L120_skew,2036,tob,120,0,2196.0,4.221802136375819,3.4166666666666665,3.8333333333333335,20733.700000000004,3.9844915058805457,3240.0,0.6325,0
